2026-08-14 23:45:06 | DEBUG    | mysql.connector | Exchanging further packets
2026-08-14 23:45:06 | DEBUG    | mysql.connector | caching_sha2_password completed succesfully
2026-08-14 23:45:55 | DEBUG    | mysql.connector | Building SSL context
2026-08-14 23:45:55 | DEBUG    | mysql.connector | Switching to SSL
2026-08-14 23:45:55 | DEBUG    | mysql.connector | SSL has been enabled
2026-08-14 23:45:55 | DEBUG    | mysql.connector | Starting authorization phase
2026-08-14 23:45:55 | DEBUG    | mysql.connector | The provided initial strategy is caching_sha2_password
2026-08-14 23:45:55 | DEBUG    | mysql.connector | Exchanging further packets
2026-08-14 23:45:55 | DEBUG    | mysql.connector | caching_sha2_password completed succesfully
2026-08-14 23:45:55 | DEBUG    | mysql.connector | Building SSL context
2026-08-14 23:45:55 | DEBUG    | mysql.connector | Switching to SSL
2026-08-14 23:45:55 | DEBUG    | mysql.connector | SSL has been enabled
2026-08-14 23:45:55 | DEBUG    | mysql.connector | Starting authorization phase
2026-08-14 23:45:55 | DEBUG    | mysql.connector | The provided initial strategy is caching_sha2_password
2026-08-14 23:45:55 | DEBUG    | mysql.connector | Exchanging further packets
2026-08-14 23:45:55 | DEBUG    | mysql.connector | caching_sha2_password completed succesfully
2026-08-14 23:46:06 | DEBUG    | mysql.connector | Building SSL context
2026-08-14 23:46:06 | DEBUG    | mysql.connector | Switching to SSL
2026-08-14 23:46:06 | DEBUG    | mysql.connector | SSL has been enabled
2026-08-14 23:46:06 | DEBUG    | mysql.connector | Starting authorization phase
2026-08-14 23:46:06 | DEBUG    | mysql.connector | The provided initial strategy is caching_sha2_password
2026-08-14 23:46:06 | DEBUG    | mysql.connector | Exchanging further packets
2026-08-14 23:46:06 | DEBUG    | mysql.connector | caching_sha2_password completed succesfully
